lang,text
fra,Nous avons pris un taxi pour arriver là-bas à l'heure.
eng,Tom is a skater.
ita,Mi ispiri a essere migliore in tutto.
deu,„Ich bin rausgeflogen.“ – „Ernsthaft?“
ita,Non va a costruire baracche in Niger?
eng,Tom and Mary said that they had three dogs at home.
deu,Tom lief direkt an Maria vorbei.
spa,El cielo está cubierto hoy.
deu,Tom hat das eigentlich gar nicht gemacht.
spa,Yanni le hizo daño a Skura.
eng,I don't see blood.
eng,Tom dreams of setting the world on fire.
fra,Qui est Ekrem Imamoglu ?
eng,How can I improve my French?
eng,He wondered whether to ring her.
fra,Tom est un père qui ne s'occupe pas de ses enfants.
fra,L'interférence est une chose très profonde.
eng,What a filthy bathroom!
fra,Je faisais faillite.
spa,Nada se consigue sin esfuerzo.
deu,Tachykardie ist eine stark erhöhte Herzfrequenz von mehr als hundert Schlägen pro Minute.
spa,¿Quieres esperar?
spa,¿Tenemos que esperarlos?
spa,Tu padre te ama.
spa,"Hágase a un lado, por favor."
fra,Comme c'est dommage !
fra,Elle venait de terminer.
deu,Ich versuche ihm aus dem Weg zu gehen.
ita,Riesco a vederti.
fra,Mike sait comment se défendre.
eng,Execute them.
fra,Je pensais que tu allais vivre avec nous.
spa,Aún lo puedo hacer razonablemente bien.
ita,Tom non vuole morire.
deu,Ich übernehme Tom.
spa,Él es un buen nadador.
eng,She frowned at me.
spa,Le hace chantaje.
fra,Pourquoi étais-tu si lente ?
fra,On mangeait des pommes.
ita,Era curiosa e ha aperto la porta.
spa,¿Vas allí con frecuencia?
fra,Elles me l'ont volé.
eng,"When Mary walked into the room, Tom hid under the table."
ita,Sloan riesce a rendere le auto un bene di consumo e relativamente accessibili.
fra,C'est lui qui les a embellies.
ita,Mi tuffavo.
spa,El cuarto del señor Johnson era un cuarto grande.
ita,Interrogami.
spa,Betty la mató.
eng,Tom and Mary were both born in Boston and they grew up there.
fra,Il a conduit.
deu,Tom ist geschieden und hat eine Tochter.
ita,Non è carina?
spa,¿Cuál es el precio de aquel libro?
eng,I don't want to go abroad.
spa,Tengo el dinero.
ita,Non vai a costruire baracche in Lituania.
eng,I heard that someone lives in this house.
fra,Fais pas hiech.
eng,They have ordered mashed potatoes with grilled salmon.
fra,"À juger d'après son apparence, il est malade."
ita,"L'aquilotto aprì le ali con timore prima di lanciarsi nel vuoto, seguito dalla madre."
eng,I think Tom has been to Australia at least once.
spa,Quiero el ventilador.
fra,Il s'est fait hara-kiri.
ita,"Di che nazionalità erano le vostre zie? ""Irlandese."""
deu,Ich bin nicht allzu erschöpft.
spa,Ahí está tu cartera.
spa,No es lo suficientemente disciplinado.
ita,Stanno leggendo libri in biblioteca.
eng,Dreams may be purchased only while sleeping.
eng,Remember Tom.
ita,Tom è abituato a vivere da solo.
fra,J'ai voyagé à Tokyo.
eng,His teacher pointed out several redundant sentences in his essay.
ita,Dai questo biglietto a chiunque arrivi per primo.
deu,"Sie ist Vegetarierin, oder?"
eng,Skura and Nuja stopped here.
spa,"Estabas durmiendo, ¿verdad?"
spa,No soy lesbiana.
spa,Añádele una docena de huevos a la lista.
deu,Sie hielt mich für meinen Bruder.
fra,J'emménage avec elle.
deu,"Weißt du, was man tun und was man lassen soll?"
eng,She may not be as happy as she looks.
fra,Apprécie-t-il la Chine ?
eng,I'd like a map of the city.
eng,Tom went to Australia to help his uncle build a house.
deu,"Ein Defizit hast du, wenn du weniger hast, als du hättest, wenn du nichts hast."
spa,Ella estudia matemáticas.
deu,"Sie sagte ihren Kindern, sie sollen ihre Spielsachen aufräumen."
fra,Le son est à présent bien perceptible.
eng,I'm planting beans in my garden.
eng,There were dark pouches under his eyes; his heavy unshaven face seemed to sag at every crease.
spa,Esta cosa saldrá bien.
spa,"María echó azúcar en el café, pero a Raquel le gustaba solo."
eng,Tom admitted that he had lied to Mary.
spa,¡Quién lo iba a decir!
eng,Why didn't you just ask them?
fra,J'ai le droit de savoir la vérité.
eng,Elias doesn't have to resign.
ita,La mia famiglia ha passato bene la Pasqua.
fra,Il est mort et personne n'a parlé de lui.
deu,"Sie half ihm, seinen Binder zu binden."
eng,He has three sisters; one's in Tokyo and the other two are in Nagoya.
fra,Elles n'ont pas dit comment elles s'y rendaient.
ita,Non vanno a cercare qualcosa in Norvegia.
fra,Ferme la fenêtre !
spa,Cuando conocí a Betty estaba nervioso.
eng,Tom didn't care how it got done as long as it got done.
fra,Il s'est passé quelque chose aujourd'hui ?
spa,¡Eso ha sido comido!
spa,Tuve que parar.
ita,"Mary non ci lascerebbe qua, vero?"
eng,Today I've written a few sentences in my notebook.
ita,Nessuno mi ascolterà.
deu,"Tom sollte bei Maria Abbitte dafür leisten, dass er nicht rechtzeitig angekommen ist."
spa,El libro está en el estante.
eng,He dropped the cup and broke it.
deu,"Wenn es eine Wahl zum König der Welt gäbe, für wen würdest du stimmen?"
ita,Tom fa almeno tre bagni la settimana.
spa,"No, no puedo creerme lo que dices."
spa,Las consecuencias del impacto del meteorito fueron cataclísmicas.
ita,Io mi tuffavo.
fra,Je me réveille très tôt.
fra,Ne vous les donneront-ils pas ?
spa,En aquella ventanilla le podrán expedir la convalidación que requiere.
eng,I had to check my bag.
fra,Vous n'avez pas mâché le citron.
deu,"Das ist ein einfaches Ding, aber viele Menschen verstehen es nicht."
spa,"Si no puedes conseguir un abogado que conozca la ley, consigue uno que conozca al juez."
ita,Io ho l'autorità di fare questo.
spa,Compramos mobiliario nuevo.
fra,Pourquoi êtes-vous tout le temps si heureuse ?
deu,Kein Mensch ist eine Insel für sich allein.
fra,L'antonomase vossienne utilise une périphrase comme nom propre.
eng,I radiate positivity everywhere.
spa,Tom es un maltratador.
ita,Quell'articolo ridicolizza i vegetariani.
ita,La sedia era fatta a mano.
ita,Questo borgo è abitato prevalentemente da boscaioli e da cacciatori.
deu,Meine Mutter hat mir beigebracht Osechi zu machen.
eng,Sick.
eng,"If I don't come, who will?"
deu,Kommst du mit zum Essen?
spa,¿No es eso lo que se supone que debes hacer?
fra,La misère n'a épargné personne.
eng,How long were you in Caracas?
spa,Mary pegó a Tom.
ita,Siete sicure che questo sia il treno giusto?
ita,Non avevo idea che Tom e Mary fossero così malati.
eng,It's a very beautiful sapling.
fra,Je l'ai vue ranger la chambre.
deu,Wir haben keinen Ersatz für Tom finden können.
eng,She needs oxygen.
ita,Ha una rivista giapponese?
fra,Nous prîmes contact.
fra,Ils sont partis andainer.
eng,"When there's more wind, the windmill spins faster."
spa,Deberían bastar tres sillas más.
deu,Vielen Dank für deine Geduld!
fra,J'ai une vague idée d'où ça se trouve.
deu,Ich brauche neue Socken.
ita,Voi lo avete accusato di aver rubato la bicicletta.
fra,Il était toujours en train de boire à cette époque.
fra,Tom a construit à son chien une niche.
spa,Distrito postal y distrito municipal son cosas diferentes.
spa,Era una mentira por supuesto.
deu,"Wo, glaubst du, ist Tom jetzt?"
spa,Todas tienen el mismo tamaño.
spa,"La traducción es una experiencia valiosa, aprendizaje de eficacia demostrada."
spa,Él es afortunado por tener tan buena esposa.
fra,"Voilà qu’on veut pas crever, maintenant ?"
deu,Ich bin ganz überrascht.
ita,Sei dopo di me.
deu,"Erzählt mir nicht, dass das eine Überraschung war!"
ita,"Di che nazionalità sono i loro fratelli? ""Albanese."""
eng,Tom thinks he's related to me.
ita,Lei andò a fare la spesa al supermercato.
eng,"May I introduce our sales manager, Abe?"
ita,Tutti i suoi problemi sono stati risolti.
ita,Mary disse che non voleva nulla.
ita,A me piacciono i bastoncini di pesce.
ita,Può farmi una foto?
fra,Je n’ai de rancune contre personne.
eng,Tom has talked about running for governor.
spa,¡Esto es peor que una bomba!
ita,Poteva venirmi il diabete!
ita,"Di che nazionalità sono i loro vicini? ""Svizzera."""
deu,Tom lugte hinter dem Eichenbaum hervor.
ita,Io penso che Tom sia possessivo.
spa,¿Es esta su primera visita a Roma?
fra,Je lui achèterai des étagères.
ita,"A dire il vero, lei è mia cugina."
ita,"Dove andremo fra due settimane? ""In Ucraina."""
fra,Elle a eu une inflammation de la muqueuse de l'appareil gastro-intestinal.
deu,Hast du das nicht immer gewollt?
deu,Wie heißt dein Pferd?
fra,Nous nous sommes mis à chanter.
fra,Je crois que j'ai perdu mon parapluie.
eng,I left my car running.
eng,He's my neighbour.
eng,Sami and Layla don't have any mutual friends on Facebook.
deu,"Weiß jemand, wie man bei Tatoeba Sätze hinzufügt?"
deu,Das Quadrat hat vier Ecken und vier Seiten.
deu,"Der Wolf fragte dann das Mädchen: „Glaubst du immer noch an Märchen, Rotkäppchen?“"
fra,Est-ce que vous les avez averties ?
eng,Tom said that he did it out of curiosity.
spa,La cena puede esperar.
spa,Se cortó con un cuchillo.
eng,I'm not sure I understand exactly what you're trying to say.
fra,Je parle couramment le français.
fra,"Drague, fais la fête, mais après ne viens pas te plaindre."
ita,Vai al posto?
ita,Fadil iniziò a saltare la scuola.
deu,"Meine Frau erschauderte, als sie eine einäugige Katze sah."
eng,Mary explained her problem.
deu,Wir haben das getan.
ita,Non volevi andare nei Paesi Bassi?
fra,Il ne faut pas chercher à comprendre.
eng,This road goes to the city.
spa,¿Disfrutaste de tu cita con Tom?
fra,Veuillez à nouveau essayer.
fra,Je n'aime pas qu'on m'envoie faire les courses.
ita,Non avete parlato con Tom?
eng,I think that you need to tell Tom what happened.
fra,Ne vous prenez pas tant au sérieux !
deu,Meine ungezogene Schwester hat mein Sparschwein zerschlagen.
ita,Guida lentamente sul ponte.
ita,La lettera è stata tradotta in finlandese.
ita,Il mio amico è indonesiano.
deu,Sie gratulierte ihm zu seiner Beförderung.
spa,Él vive en paz.
spa,Muchos carecían de experiencia política.
eng,I sold the store due to a lack of clients.
fra,Que dis-tu d'une chope ?
spa,"La curiosidad es solo vanidad, la mayor parte de las veces solo queremos saber para hablar de ello."
spa,Muchos adolescentes solo pensarían en celebrar fiestas llenas de alcohol.
fra,Tu es différent.
fra,Je n'arrive pas à arrêter de penser à l'argent volé.
spa,Iba de camino a casa.
eng,Have you ever bet on a horse race?
deu,Machen Sie bitte nur die nötigsten Reparaturen!
eng,I'm pretty sure Mary did that while she was drunk.
ita,La mancanza di trasparenza è problematica.
fra,Ça fait déjà plus de cinq ans que je travaille légalement dans un autre pays de l'UE.
deu,"Tom sagt, ich könne nicht allein zu Hause bleiben."
eng,Tom was surprised by how much Mary drank.
fra,Je parle d'un lion.
ita,Ti lascio pensare ad altro?
ita,Non le abbasso.
ita,Chiudi la porta prima di andare a letto!
fra,Elle s'est mariée avec lui à 20 ans.
deu,Was hast du am Montag vor?
spa,No puedo estacionar mi auto en este barrio. Hay muchos delincuentes aquí.
fra,Vas-tu à la campagne avec ta femme ?
ita,La mamma mi ha fatto la predica.
spa,Jack lleva seis años viviendo en Nueva York.
ita,Va a costruire strade in Ucraina.
spa,"Esos dos se llevan muy bien, pero incluso con ellos puedes sentir que un escalofrío se aproxima."
ita,Lei sa quali sono le regole?
fra,Des maux de tête te tourmentent-ils ?
ita,Leonardo è un bambino poco ubbidiente.
eng,I hope Tom doesn't try to do that by himself.
fra,Elles ont pressé des oranges.
spa,Querría regalarte una bicicleta por tu cumpleaños.
eng,She loves the two of them.
fra,C'est ce qui nous a sauvé la vie.
deu,Ich habe ein Konto bei Facebook.
ita,Potrei dovere studiare francese.
fra,Est-ce que c'est un plat japonais ?
eng,How long do you think the concert is going to last?
ita,"Dopo aver ascoltato la musica intensa, ha avvertito un senso di sollievo catartico."
eng,He thought he perceived the black fin of a shark swimming near the surface of the water.
deu,Das ist praktisch.
deu,"Tom ging in die Küche, um noch mehr Getränke zu holen."
ita,Tu sei il nemico.
deu,Ist das Leitungswasser in Australien trinkbar?
fra,Peut-être vous verrez-vous l'une l'autre là-bas.
fra,Je les ai trouvées cachées dans le grenier.
ita,Si muova verso di loro!
eng,Tom asked Mary to drive slower.
deu,Ich esse niemals so ein Zeug.
spa,Carmen lo explora.
ita,È fastidioso.
fra,De quoi veut-elle me parler ?
deu,Meine Mutter kümmerte sich um meinen Hund während der Reise.
deu,Wir haben eine wichtige Entscheidung zu treffen.
deu,"Einen Bund Stroh aufzuheben, muss man keine Maschine in Bewegung setzen."
eng,We have to thoroughly investigate it.
ita,I grandi uomini non sono sempre saggi.
ita,Pensa a rispondere a questa lettera.
eng,I don't have Facebook.
deu,Dieser Hund hat dem kleinen Mädchen das Leben gerettet.
spa,No lo conocía muy bien.
fra,Je regrette de ne pas vous avoir crues.
deu,"Der Klimawandel ist die größte Bedrohung, der wir gegenüberstehen."
ita,"In seguito, siamo andate a Betlemme a vedere le statue."
eng,I'm not letting Tom go.
ita,Questo non è un sogno! Sta succedendo veramente!
eng,Tom isn't as well off as he used to be.
eng,The boy swam in the pool.
ita,Fadil è trattato.
ita,La carne è media-al sangue.
deu,"Alle Schüler standen auf, als der Lehrer in die Klasse kam."
ita,Ho visto la casa.
spa,"Un animal, la rata o el canguro, sirve de tótem a todo un clan."
eng,We got a little bored with each other.
fra,Il comprend la physique.
ita,Studi il francese a scuola?
fra,Mon plan a été très efficace.
fra,Quelle est la différence entre discounter et supermarché ?
deu,Wir alle warten auf euch.
spa,"Si mañana hace buen tiempo, iremos a jugar al béisbol."
ita,Hanno detto che erano disorientati.
eng,The high price of petrol is driving up household expenses.
fra,Elles attendent que le jour se lève.
spa,Van a comprobar mi factura.
fra,Tom est l'un des hommes les plus riches de Boston.
spa,No quiero ir fuera.
eng,"It's not clever, cycling through slush on a racing bike, but there's nothing else for it this year."
fra,"Pendant mes vacances d'été, j'ai fait la connaissance d'une belle femme."
ita,La stazione è qua vicino.
eng,"If Ziri goes there, he will be gobbled up by giant monsters."
spa,Mike siempre se mantiene tranquilo.
deu,Sie fand eine Stelle als Sekretärin.
ita,Perché tutti le stanno guardando?
spa,Tom nos dio una vuelta por Boston.
eng,You seem to be really popular.
deu,Ich schlafe gerne auf dem Bauch.
deu,"Maria wollte sich viel Arzneimittelwerbung anschauen, deshalb hat sie den Fernseher eingeschaltet."
spa,Lo hizo simplemente por curiosidad.
eng,"Can these windshield chips be repaired? ""Sure."""
ita,Tom era il mio fidanzato.
ita,Loro non volevano vivere.
eng,That's the truth of liars.
fra,Je me suis réveillé sur le sol.
ita,Dove le hai impacchettate?
spa,"Después de tres días, Carlos dejó el curso intensivo porque no podía más."
eng,Are you drunk again?
deu,"Bis der Rauch abzieht und im Ofen ein Glutbett entsteht, dauert es eine Weile."
eng,Ziri nearly scared Rima half to death.
deu,Ich wurde verhaftet und mir wurden Handschellen angelegt.
ita,Chi ha inventato questa macchina?
deu,"Je höher wir steigen, desto kälter wird es."
eng,They went to school this afternoon.
fra,Le riz est délicieux.
deu,Tom isst zu hastig.
eng,"I know that I should sleep for at least eight hours every night, but I usually sleep less."
deu,"Zum Glück war ich nicht im Bus, als er von der Straße in den Fluss raste."
eng,Yanni's body disappeared and is still not properly laid to rest.
spa,¿Te estás escondiendo de él?
fra,Passe une bonne nuit !
deu,Ich lebe jetzt in Kyoto.
eng,"Not for life, but for school do we learn."
deu,Seit gestern habe ich nichts gegessen oder getrunken.
ita,È un segno questo cigno sul lago.
eng,I wasn't as angry as Tom seemed to be.
eng,Tom's house is just ahead.
spa,¿No trabajan juntos?
deu,Ich habe großes Glück.
deu,Tom kam als blinder Passagier eines Schiffes nach Amerika.
spa,Metió una pajita en un hormiguero.
ita,Questi sono una specie di fiore notturno.
deu,Das geht in beide Richtungen.
eng,You know very well I'm right.
eng,Dung beetles come in all types of colors.
eng,William was silently waiting for an opportunity.
eng,Ziri was very obviously a child.
ita,Io non mi lavo i capelli la mattina.
eng,Did Tom and Mary do well on the exam?
eng,The boys were very noisy.
eng,Who else was involved in the incident?
deu,Ich reise auf eigene Kosten.
deu,Für euch habe ich das größte Opfer erbracht.
eng,Why should someone buy your product?
fra,Le chien regarda dans l'eau.
ita,Beve spesso il latte?
fra,"Ne buvez pas trop, d'accord ?"
fra,Il ne s'énervait jamais !
ita,La vostra stanza è pronta ora.
spa,Tiene retraso mental.
spa,La luz solar hace moverse a los electrones en las celdas y se produce energía.
ita,La tonsilla svolge un ruolo importante nella lotta contro le infezioni.
spa,Parece muy joven.
spa,¿Le preguntaste a Tom si quiere ir con nosotros?
spa,Dejó de buscar la perla.
ita,Io leggo un libro molto interessante.
ita,"Ha detto la verità, altrimenti sarebbe stato punito."
spa,Nada como una rana.
eng,I knew that Tom would get fired for doing that.
deu,Die Demokratie ist tot. Es lebe die Demokratie!
eng,Mary isn't anything like her sister.
spa,Sentí simpatía por él.
fra,Cessez de gaspiller votre temps.
fra,Il s'est certainement trompé.
deu,"Lasst uns irgendwo hingehen, wo wir ungestört sind."
eng,It's hard to speak.
eng,I like remembering these things.
ita,Affettò la banana con un coltello.
spa,Fui a la escuela con tu padre.
eng,"He's dying, isn't he?"
ita,Io so che sarò in grado di farlo.
spa,Os dejo que os ocupéis del resto.
fra,Ces assiettes ne sont pas propres.
ita,Quand'è stata l'ultima volta che vi siete connessi a Internet?
eng,Tom hates dancing.
eng,The day started very well.
fra,Prends soin de ton grand-père !
eng,Tom is a suspect in a homicide investigation.
fra,Je ne suis pas bon pour écrire des chansons.
ita,Volete un altro po' di latte?
deu,"Wenn es etwas Unverzeihliches gibt, dann ist es, nicht zu verzeihen."
eng,You should've come to the party.
deu,Er brachte mir eine Tasse Tee ohne Zucker.
spa,Usted no sabe precisamente dónde nació.
fra,Votre rôle va consister uniquement à payer les factures.
deu,"Das ist alles, was ich dir im Moment sagen kann."
spa,No tenemos claro aún.
fra,J'ai essayé de la remonter.
eng,Tom and Mary are going back to Boston this summer.
fra,Tom a payé avec de la monnaie.
deu,Es ist eiskalt hier drinnen.
eng,That's the same thing I would've done.
deu,Manche dieser Bücher sind ziemlich alt.
spa,Oí voz de un niño.
ita,A Corrado piace scrivere degli haikai.
deu,"Sie werden doch nicht weggehen, oder?"
deu,Ich vertraue Ihnen nicht mehr.
ita,Io ho deciso di perdonare Tom.
deu,Mit belegter Stimme verlas der Angeklagte sein schriftliches Geständnis.
ita,Gli Stati Uniti una volta facevano parte dell'Impero Britannico.
deu,Vor einer Stunde war Tom besser gelaunt.
fra,Le bruit sonore de perceuse donna mal au crâne à son mari.
spa,¿Puedes poner algunos ejemplos?
fra,Je lui manque.
fra,Défends-toi du mieux que tu peux !
spa,"Hoy todos quieren chocolate, y no huevos pintados."
deu,"Zu Befehl, Herr General!"
ita,Queste sono parole di saggezza.
ita,Andate a costruire mattatoi in Canada.
fra,Beaucoup de rabbins rejettent le sionisme.
deu,"Der Weise sagt niemals alles, was er denkt, überdenkt jedoch immer alles, was er sagt."
fra,Sami est un expert.
deu,Warum ist das nicht gut?
deu,Wo ist dein Gepäck?
deu,„Entschuldige bitte mein schlechtes Deutsch!“ – „Dein Deutsch ist doch besser als meins!“
ita,Perché la fortuna lo odia?
eng,He said he was too young to drink.
ita,Nessuno si aspettava che lui fosse di nuovo un candidato.
eng,These are the times that try men's souls.
eng,Sami's sister was still home.
fra,L'ont-elles choisie ?
deu,Maria erinnert sich gern an ihre Jugend.
ita,"Dove volete andare in vacanza? ""In Turchia."""
spa,El lateral de la casa fue cubierto con hiedra.
fra,J’attends votre accord.
spa,Tom suele ir andando a la escuela con Mary.
fra,Ma mère dépense beaucoup d'argent en vêtements.
deu,Er wird jetzt operiert.
spa,Calculé que costaría 300 dólares.
ita,Gli scienziati hanno analizzato i dati.
eng,He didn't laugh.
fra,David a continué à tirer.
deu,Sie wird sich auf amerikanische Geschichte spezialisieren.
ita,È per lei.
deu,Es sind drei Kinder im Schwimmbecken.
ita,A Tom serve un coltello.
ita,Lui ha scoperto il segreto.
deu,Lach mich nicht aus!
ita,Mary è una sirena.
ita,Ti consiglio di trascorrere meno tempo davanti al computer.
deu,Tom ist in diesem Punkt anderer Meinung als du.
deu,Brauchen Sie eine Minute?
deu,Tom war nicht stark genug.
deu,Tom bekam seinen Willen.
fra,Je veux savoir qui l'a démarré.
deu,"Er ist die einzige Person, die ich in Boston kenne."
fra,Je n'en ai encore jamais touché mot à personne.
spa,Ayer no tuve tiempo de ver la televisión.
ita,Sapeva che non sarebbe stata arrestata.
eng,William chased after Sandra on the sidewalk.
fra,Il y a quelques avantages.
ita,Anche io non ho più traccia dei dispersi.
ita,Non andiamo a fare nuove conoscenze in Nigeria.
fra,La soupe est glacée !
fra,Il pensait qu'elle n'avait pas de valeur.
deu,"Trotzdem möchte ich nicht, dass dieses Wissen zum Allgemeingut wird."
eng,He said that he was dog-tired.
deu,"Oft bleibt vom Gedicht in der Deutschstunde weniger, als von der Linde im Tee."
spa,Al menos no soy un perdedor como tú.
eng,Tom is probably going to be desperate to do that.
deu,Es war einmal ein alter Mann in diesem Dorf.
deu,Ich habe noch ein Ass im Ärmel.
eng,Tom will be here for the whole week.
spa,Nadie es perfecto.
eng,They were about to leave when I arrived there.
ita,Mary sa che lei mi piace.
spa,La respuesta es sencilla.
eng,Your style of interaction bothers me.
ita,Questo metodo funzionerà di sicuro.
fra,Y a-t-il une pharmacie près d'ici ?
deu,Das Wasser war trüb.
deu,"Kernenergie wird dazu verwendet, Strom zu produzieren."
fra,Sa convalescence a duré plus longtemps que prévu.
ita,Sono molto sicura di me.
eng,I couldn't afford to live in that neighborhood.
spa,Fui herido con una navaja.
ita,Inizialmente i parlamentari della CECA non venivano scelti dal popolo ma dal parlamento nazionale.
eng,Get the free app!
eng,"Excuse me, what?"
spa,Lo arreglé.
deu,Ich liebe dich – als Freundin.
eng,Mary prepared supper by herself.
deu,Ich öffne das Fenster.
spa,La pregunta es ¿para qué?
deu,Und was hast du geantwortet?
eng,I checked in every hotel.
spa,"Tengo más tiempo, y menos dinero que nunca."
fra,"C’est périmé depuis trois jours, mais bon, ça devrait aller."
ita,Mangiamo la zuppa con il cucchiaio.
ita,Mary ha le sue calze al contrario.
fra,Je t'aime aussi.
ita,Non ha mai rispettato il codice della strada.
fra,J'exige une obéissance inconditionnelle.
fra,Mes poches sont pleines de cacahuètes.
spa,Él resolvió los crucigramas con facilidad.
spa,Tom no quiere admitir que estaba equivocado.
ita,Vi piaceranno.
fra,Si tu savais comme je t'aime.
eng,Ziri began to believe Rima's lies.
deu,"Ich bedauere, was ich nicht getan habe."
deu,Sie kann den Hotelpool benutzen.
ita,Tom è salito sul taxi.
ita,Sono bravo nelle lingue.
fra,Il faut que tu arrêtes de fumer.
deu,Gib mir den Helm.
eng,Tom and Mary told John they didn't want him to do that again.
fra,Nous avons chaud.
eng,They were surrounded by their friends.
deu,Ostern ist ein wichtiges christliches Fest zum Gedenken an die Auferstehung von Jesus Christus.
eng,Sami split ways with Layla.
eng,Quite a lot of people saw Tom doing that.
ita,Le statistiche sono a suo favore.
spa,Este invierno fui a esquiar por vez primera.
deu,"Es ist sehr wichtig, daran zu denken."
eng,Will you show me a map of the world?
deu,"Flackernde Kerzen, in eurem Licht erbeben verwandte Herzen."
spa,¿Por qué estás en Boston?
eng,Have you seen a giraffe?
deu,"Tom wusste, dass Johann ein Flüchtling ist."
spa,¿Esto lo asas o lo fríes?
spa,Empezabas a aprender el esperanto.
eng,"Well, let's talk turkey."
eng,The bigger man often wins.
deu,Rings um das Haus ist ein Garten.
deu,Damit bin ich durch.
ita,Dovrà dimenticarsi di te.
fra,Je vous délivrerai une ordonnance.
eng,Mary had a little lamb whose fleece was white as snow.
eng,My daddy issues have nothing to do with my politics!
spa,Ella trabaja como mesera en un restaurante cercano.
deu,"Iss es, wenn du Hunger hast."
ita,Casa mia è casa sua.
deu,Ich verließ Japan vor zehn Jahren.
spa,A Tom le gusta escuchar la radio mientras está manejando.
eng,The great bustard is Europe's heaviest flying bird.
spa,Tom se ve un poco agotado.
spa,¡Felicitaciones Señor!
fra,Comment puis-je savoir si un garçon m'aime ?
deu,Tom sollte nicht gehen dürfen.
spa,Ya no hagamos eso por hoy.
spa,Tengo deberes.
ita,La scienza ha fatto un grande progresso.
fra,Vous nous en voyez navrées.
deu,Ich habe eine Ärztin konsultiert.
deu,Worüber bist du besorgt?
ita,Voi volete essere famose?
ita,Questo vuole dire guerra!
ita,Non deragliate la verità.
fra,Il m'a dit précisément le contraire !
deu,"Ey, ich bin auf deiner Seite!"
fra,Tom rencontre sa petite amie tous les après-midi dans ce café.
eng,This is what my mother used to say.
ita,Solitamente andiamo in spiaggia in estate.
deu,Ich lese gerne Blogs.
ita,Abita da sola con i suoi genitori.
eng,Many who learn a foreign language dream of being able to speak like a native.
eng,Tom and Mary said they couldn't resist doing that.
eng,Sami will understand why I don't like this guy.
eng,Who could fill Tom's shoes?
ita,Io ero abituato a mangiare come un maiale.
fra,C'est moins cher d'y aller en bus.
spa,Cualquiera que haya hecho esta estupidez es un perfecto idiota.
fra,Elle insista pour que je voie un docteur.
spa,Tom no habla francés.
spa,"¡Oh, mis pantalones blancos! Y eran nuevos."
spa,Este invierno hemos tenido menos nieve de lo que esperábamos.
spa,Tom le preguntó a Mary si acaso sabía en dónde podría comprar un rifle de asalto.
ita,Perché pensa che Tom farebbe questo?
ita,Io odio vedere i bambini piangere.
spa,Él me está ganando tres a cero.
fra,Ne te fais pas du mouron pour ça.
deu,Der Junge isst gerade Brot.
fra,"Je veux savoir ce que tu vois, à l'instant."
deu,Du solltest dieses Nahrungsmittel besser bei minus zehn Grad aufbewahren.
fra,"Elle voulait étudier, mais à l'époque, les filles devaient aider au ménage."
deu,Tom hat sich den ganzen Tag abgerackert.
ita,"Tom è impegnato adesso, per cui non può parlare con lei."
fra,C'est devenu une habitude.
deu,Sind Sie 18?
eng,Luis needed to clean the microwave.
eng,I went from door to door trying to sell encyclopedias.
ita,"Grazie, signore, con piacere."
ita,Loro si sono allontanate.
fra,Est-ce de l'allemand ?
deu,Seine gerunzelte Stirn ließ auf vorhandene Zweifel schließen.
spa,Lo que le hicieron sólo puede calificarse de abominable.
ita,È una delizia!
spa,Sami aceptó el islam.
ita,Non vado a costruire mattatoi in Nigeria?
fra,Ils sont arrivés ex æquo.
ita,Probabilmente stavolta mi molla.
ita,Le poinsezie sono velenose per i gatti e per i cani.
spa,Él me conocía.
deu,Hier zu leben ist sehr teuer.
spa,Me paré y empecé a caminar.
fra,Il veut devenir président d'office.
deu,Gestern war Vollmond.
fra,"Malgré sa promesse de ne jamais l'oublier, ils se sont perdus de vue."
deu,Ich war fremd in Boston.
eng,Tom won the last time.
spa,Siento que me voy a congelar aquí. Está bien frío aquí.
fra,Il m'a trouvé un bon travail.
fra,Écris à l'encre.
ita,"Di che nazionalità sono le tue nonne? ""Portoghese."""
spa,Los estudiantes responden las preguntas del maestro.
fra,Il serait plus sage d'en informer François.
spa,Esa frase me parece muy ingeniosa.
eng,She poured some cold dregs of tea into the two cups.
spa,¿Me dejas tu número de teléfono?
deu,Weshalb verkauft ihr es nicht einfach?
fra,Je suis arrivé tôt ce matin.
eng,They booed him as he gave his speech.
eng,Tom said he wished that he hadn't told Mary to show John how to do that.
spa,¿Quién quiere a Tony?
ita,Grazie a tutti coloro che hanno voluto farmi gli auguri.
ita,"Ogni anno, nel mio giardino, il mughetto fiorisce all'inizio della primavera."
deu,"Könntest du bitte die Beispielsätze korrigieren, wenn ich sie geschrieben habe?"
eng,Ziri crossed the threshold.
ita,Credo che non saresti dovuto uscire.
fra,Les matelots sont amarinés.
eng,Can Algeria achieve Berber-Arabic universal bilingualism?
fra,Je n'abats pas leurs arbres.
spa,Tengo muchas preguntas.
spa,Lo vas a romper si no tienes cuidado.
spa,No llores delante de la gente.
fra,Il y a beaucoup d'œufs dans le panier.
deu,Du bist der Kapitän.
eng,My legs are weak.
deu,Sie muss sie im Ausland kaufen.
ita,Tom è una spanna sopra gli altri.
deu,Was hast du seinem Vater gesagt?
deu,An der Wand hängt ein Bild.
spa,¿Están ustedes enamorados de alguien?
eng,"So, I don't know what to do next spring."
